"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://ditex.com.pl/nasz-zespol/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/nasz-zespol/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/bmp-europe/bramy-szybkobiezne/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/bmp-europe/bramy-szybkobiezne/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/category/blog/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/category/blog/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/polityka-prywatnosci/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/polityka-prywatnosci/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/bmp-europe/bramy-szybkobiezne/page/2/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/bmp-europe/bramy-szybkobiezne/page/2/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
