"Site Crawled","https://ditex.com.pl/"
"Date","2025-04-03"
"Time","19:52:49"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"All","615","100,00%","615","Internal HTML pages with 2xx response"
"Contains Pagination","41","6,67%","615","Internal HTML pages with 2xx response"
"First Page","13","2,11%","615","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","28","4,55%","615","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","2","0,33%","615","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0,00%","615","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0,00%","615","Internal HTML pages with 2xx response"
"Non-Indexable","28","4,55%","615","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0,00%","615","Internal HTML pages with 2xx response"
"Pagination Loop","0","0,00%","615","Internal HTML pages with 2xx response"
"Sequence Error","0","0,00%","615","Internal HTML pages with 2xx response"
""
"Directives"
"All","1670","100,00%","1670","Internal URLs with 2xx response"
"Index","613","36,71%","1670","Internal URLs with 2xx response"
"Noindex","2","0,12%","1670","Internal URLs with 2xx response"
"Follow","615","36,83%","1670","Internal URLs with 2xx response"
"Nofollow","0","0,00%","1670","Internal URLs with 2xx response"
"None","0","0,00%","1670","Internal URLs with 2xx response"
"NoArchive","0","0,00%","1670","Internal URLs with 2xx response"
"NoSnippet","0","0,00%","1670","Internal URLs with 2xx response"
"Max-Snippet","613","36,71%","1670","Internal URLs with 2xx response"
"Max-Image-Preview","613","36,71%","1670","Internal URLs with 2xx response"
"Max-Video-Preview","613","36,71%","1670","Internal URLs with 2xx response"
"NoODP","0","0,00%","1670","Internal URLs with 2xx response"
"NoYDIR","0","0,00%","1670","Internal URLs with 2xx response"
"NoImageIndex","0","0,00%","1670","Internal URLs with 2xx response"
"NoTranslate","0","0,00%","1670","Internal URLs with 2xx response"
"Unavailable_After","0","0,00%","1670","Internal URLs with 2xx response"
"Refresh","0","0,00%","670","Internal HTML pages with 2xx response"
"Outside <head>","0","0,00%","1670","Internal URLs with 2xx response"
""
"Hreflang"
"All","615","100,00%","615","Internal pages with 2xx response"
"Contains hreflang","0","0,00%","615","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0,00%","615","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0,00%","615","Internal pages with 2xx response"
"Missing Return Links","0","0,00%","615","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0,00%","615","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0,00%","615","Internal pages with 2xx response"
